gcs,min_latency,mean_latency,num_shards,throughput,remote
-1,0.001516103744506836,0.0015720367431640626,1,2500,1
-1,0.0011105537414550781,0.001167631149291992,1,2500,0
-2,0.001546621322631836,0.0015988349914550781,4,250,1
-2,0.0011610984802246094,0.0011932373046875,4,250,0
0,0.002102375030517578,0.0021379470825195314,4,250,1
0,0.0015766620635986328,0.0016530990600585938,4,250,0
-1,0.001611471176147461,0.0016543865203857422,4,250,1
-1,0.0011599063873291016,0.0011944293975830079,4,250,0
-2,0.0014803409576416016,0.0015726566314697265,4,500,1
-2,0.0011115074157714844,0.0011351585388183593,4,500,0
0,0.016722440719604492,0.025521183013916017,4,500,1
0,0.0026636123657226562,0.023642301559448242,4,500,0
-1,0.0015876293182373047,0.0016171932220458984,4,500,1
-1,0.0011641979217529297,0.001226186752319336,4,500,0
-2,0.0014491081237792969,0.0015006542205810546,4,1000,1
-2,0.0010790824890136719,0.001123809814453125,4,1000,0
0,0.0019104480743408203,0.025148344039916993,4,1000,1
0,0.00391697883605957,0.018910837173461915,4,1000,0
-1,0.001519918441772461,0.0015718936920166016,4,1000,1
-1,0.0011467933654785156,0.0011962890625,4,1000,0
-2,0.0014798641204833984,0.001535940170288086,4,1500,1
-2,0.0010995864868164062,0.0011660099029541016,4,1500,0
0,0.02038121223449707,0.02467794418334961,4,1500,1
0,0.021457910537719727,0.03498797416687012,4,1500,0
-1,0.0015299320220947266,0.0015729904174804688,4,1500,1
-1,0.00110626220703125,0.0011506080627441406,4,1500,0
-2,0.0015096664428710938,0.0015412330627441405,4,2000,1
-2,0.001104116439819336,0.0011454582214355468,4,2000,0
0,0.03722691535949707,0.056826448440551756,4,2000,1
0,0.02313065528869629,0.0383056640625,4,2000,0
-1,0.00151824951171875,0.0015850067138671875,4,2000,1
-1,0.0010974407196044922,0.0011398792266845703,4,2000,0
-2,0.0014634132385253906,0.0015277385711669922,4,2500,1
-2,0.0011188983917236328,0.0011518001556396484,4,2500,0
0,0.009203433990478516,0.031925630569458005,4,2500,1
0,0.02379298210144043,0.055464744567871094,4,2500,0
-1,0.0016117095947265625,0.0016427040100097656,4,2500,1
-1,0.0011897087097167969,0.0012218952178955078,4,2500,0
-2,0.0015196800231933594,0.0015665531158447266,1,250,1
-2,0.0011012554168701172,0.0011415481567382812,1,250,0
0,0.0019268989562988281,0.002005481719970703,1,250,1
0,0.0015399456024169922,0.0016037940979003907,1,250,0
